tipo,precio,habitacione,bano,estaciona,lote
h,577000,3,1,2,706
u,230000,2,1,1,1996
t,607000,4,3,2,0
h,765500,3,2,2,780
u,470000,3,1,2,187
u,482500,3,1,1,265
h,580000,3,1,2,650
t,434500,2,1,1,125
u,620250,2,1,2,253
h,710000,3,1,1,796
h,630000,3,1,2,630
t,420000,2,1,1,307
h,600000,3,1,4,541
t,550000,3,2,2,212
u,460000,3,2,1,190
h,600000,4,1,2,586
h,1217500,4,3,2,693
h,600000,3,1,2,599
h,570000,3,2,2,585
h,655000,4,1,2,695
h,500000,3,1,4,677
h,762700,3,1,4,597
u,465000,2,1,1,176
h,741250,2,1,1,668
t,488500,2,2,1,190
h,787500,4,2,2,650
u,442000,3,1,1,245
h,1000000,4,2,8,977
h,726335,2,1,2,590
h,630000,4,2,2,602
h,670000,3,1,3,705
h,417000,2,1,1,172
t,600000,3,1,2,258
t,440000,3,2,1,215
h,501000,3,1,1,348
h,660000,3,1,2,657
h,722000,3,1,3,781
h,270000,2,1,1,155
h,825000,4,2,4,768
h,638000,4,2,1,624
h,631000,3,2,2,608
t,532000,3,2,1,149
h,500000,3,2,1,140
h,504000,3,2,1,215
t,468000,3,2,2,178
h,802500,4,2,2,0
h,709000,4,2,2,453
h,700000,3,2,2,691
h,485000,3,2,1,175
h,540000,3,2,1,367
h,390000,3,2,1,158
h,800000,4,2,2,719
h,525000,3,2,1,223
h,740000,4,2,2,453
h,605000,3,1,2,597
h,685500,3,1,2,724
h,610000,2,1,1,394
h,630000,3,1,1,604
h,870000,4,3,5,591
h,810000,3,2,2,592
h,840000,3,1,2,608
h,585000,5,2,1,590
h,772500,3,2,2,595
u,465000,3,1,1,225
h,719000,3,1,4,692
u,487000,2,1,2,198
h,700000,2,2,2,700
h,600500,4,2,1,462
h,730000,3,1,2,570
h,800000,3,2,2,565
h,918000,4,2,2,763
t,750000,3,2,2,301
h,740000,3,1,1,568
h,721000,3,1,3,539
h,646000,3,1,2,574
h,545000,3,2,3,230
h,770000,3,1,2,700
h,777000,3,1,2,700
h,722000,3,3,1,580
h,545000,2,1,3,591
t,510000,3,2,2,234
h,542500,2,1,1,359
h,631500,4,1,3,593
h,750074,4,2,1,302
h,591000,3,1,1,557
h,550000,3,1,3,610
h,330000,2,1,1,249
h,800000,5,2,1,808
h,725000,3,2,4,560
h,815000,4,2,2,672
h,715888,2,1,1,613
h,650000,4,1,4,588
t,468000,2,1,1,137
h,1102000,3,1,2,1020
h,515000,2,1,2,345
h,716000,3,1,2,594
h,640000,2,1,1,612
h,460000,2,1,4,360
u,895000,2,1,1,228
u,587000,2,1,1,0
h,2800000,3,3,2,701
u,720000,2,1,1,832
h,3250000,4,3,2,928
h,2140000,4,2,3,688
h,1600000,4,2,2,607
t,2200000,3,2,3,1402
h,1003500,3,1,2,289
u,802000,2,1,1,0
t,1500000,4,1,1,692
h,1686500,4,2,2,664
h,1400000,5,2,2,434
h,1560000,3,1,3,593
u,680000,2,1,2,0
h,1715000,3,1,2,765
u,760000,2,1,1,90
u,616000,2,1,1,0
h,1680000,4,1,1,723
h,2520000,5,4,2,661
t,890000,1,2,2,181
h,1120000,4,2,3,373
h,3200000,4,3,3,760
h,1250000,4,3,2,398
h,2420000,3,3,2,560
h,2000000,4,3,4,615
h,2880000,4,3,2,687
h,1805000,4,2,2,700
h,1460000,4,2,2,487
h,1403000,3,1,2,495
h,1682000,3,1,1,767
h,1875000,4,2,3,685
h,2600000,3,1,2,1504
u,685000,2,1,2,0
h,2400000,4,2,2,663
h,3470000,5,3,4,670
h,1615000,2,1,1,801
h,1450000,4,2,3,450
u,786000,2,1,1,162
u,742000,2,3,2,245
h,1050000,3,2,2,357
h,1690000,2,1,1,319
u,810000,3,1,1,195
h,1460000,3,2,2,413
h,1620000,3,1,2,783
h,1420000,3,2,2,277
h,2400000,4,2,4,802
h,3075000,3,2,2,830
h,3201000,5,3,2,760
u,875500,2,2,1,225
t,1400000,3,2,1,211
u,1457500,3,2,2,0
h,2600000,5,4,2,1000
h,1465000,2,1,2,581
h,1705000,5,2,2,648
h,1610000,3,1,2,569
u,750000,2,1,2,153
h,1320000,3,2,2,320
u,896000,2,2,2,677
h,1450000,3,2,2,413
u,898000,2,1,1,266
h,1515000,4,2,0,611
h,2980000,5,3,2,694
h,2200000,4,3,4,583
u,500000,1,1,1,0
t,1100000,3,2,1,355
u,800000,2,1,2,282
h,3325000,4,3,2,627
u,691000,2,1,1,0
u,450000,2,2,1,0
u,738000,2,1,2,3414
t,1140000,3,2,2,224
u,500000,2,1,1,0
h,1460000,4,3,2,562
h,2800000,4,3,2,1093
t,820000,3,2,2,0
t,915500,2,2,1,0
h,1740000,4,3,2,414
h,2450000,1,2,0,994
h,1800000,4,2,1,667
h,2160000,4,2,1,577
h,1800000,2,2,2,920
h,2439500,3,2,2,662
h,2250000,5,2,2,647
h,2130000,4,2,2,714
u,400000,2,1,1,0
h,952000,3,2,2,246
h,1255000,3,2,2,614
t,1020000,2,2,2,221
h,926000,2,2,2,393
h,1070000,3,1,3,583
u,801000,2,1,1,217
t,1150000,3,2,1,0
u,472000,2,1,1,215
h,1471000,3,2,2,732
h,830000,2,1,2,658
h,1195000,3,1,2,601
t,1185000,4,3,1,300
h,1300000,3,2,2,586
h,1416000,4,2,2,575
h,1200000,4,2,2,0
u,865000,3,2,2,317
h,1650000,4,2,2,317
h,5100000,3,2,3,1038
h,2670000,4,2,1,336
h,1480000,3,1,0,228
u,348000,1,1,1,0
u,320000,1,1,0,0
u,1189000,3,1,1,181
u,610000,2,2,1,85
u,575000,2,1,1,0
u,600000,2,1,1,0
u,492000,1,1,1,0
u,891000,3,1,1,1585
u,806000,2,1,1,0
h,1155000,2,1,2,235
h,2000000,3,2,1,460
u,500000,2,1,1,0
u,753000,2,1,2,0
u,330000,1,1,1,0
h,1420000,3,1,0,218
u,956000,3,2,2,189
u,418000,2,1,0,1056
u,495000,2,1,1,0
u,525000,2,1,1,0
u,292000,1,1,0,0
u,430000,2,1,1,1997
u,365000,1,1,1,0
u,580000,2,1,1,1089
h,1300000,3,2,1,341
h,1300000,3,1,0,232
u,575000,2,2,1,0
u,335000,1,1,1,3132
u,440000,2,1,1,0
u,1000000,3,3,2,0
h,2610000,4,2,7,0
h,1741000,3,1,1,383
h,2325000,3,2,1,373
u,545000,2,1,1,0
u,655000,2,1,1,0
h,2920000,2,1,3,791
u,488000,1,1,1,0
h,1510000,3,2,2,264
u,450000,1,1,1,0
h,2065000,3,1,1,351
u,350000,1,1,1,0
u,645000,2,1,1,0
t,1400000,3,2,2,299
h,1712000,3,1,1,342
u,520000,2,1,1,0
u,480000,1,1,1,0
u,630000,2,1,1,71
h,3225000,4,2,2,665
u,517000,2,1,1,0
u,320000,1,1,1,0
h,1828500,2,1,0,243
u,400000,1,1,1,0
u,1650000,4,2,3,207
h,3950000,4,2,3,1236
u,587500,2,1,1,1099
u,560000,2,1,1,0
h,1936000,4,2,1,218
h,4250000,5,4,3,1275
h,3500000,5,1,3,740
u,487500,2,1,1,0
u,630000,3,1,1,0
h,1560000,3,2,0,198
h,2265000,2,1,1,460
u,840000,3,2,2,0
h,1780000,3,3,2,88
u,605000,2,1,1,0
u,535000,2,1,1,1228
u,815000,2,1,1,0
u,1975000,3,2,1,0
u,445000,2,1,1,0
u,663000,2,1,1,0
u,657500,2,1,1,728
h,5050000,4,4,2,905
u,445000,1,1,1,0
u,750000,2,1,1,747
h,1180000,3,1,3,218
u,470000,2,1,1,0
u,485000,2,1,1,0
u,290000,1,1,1,1568
h,1800000,3,2,4,601
u,805000,2,1,1,0
h,1855000,3,1,1,304
h,1377000,3,1,2,314
u,665000,2,1,3,0
u,751000,2,1,1,711
h,1551000,3,1,1,199
u,415000,1,1,1,0
u,743000,2,1,2,0
h,1535000,2,1,0,243
u,612500,2,1,1,859
h,2410000,3,2,0,249
u,690000,2,1,1,82
u,695000,2,1,1,3194
u,715000,2,1,1,0
h,2375000,3,2,2,472
h,1980000,3,2,1,151
t,1055000,2,2,1,191
h,1976000,4,2,2,410
u,382000,1,1,1,0
u,499000,1,1,1,0
u,495000,2,1,1,0
h,3750000,5,3,2,827
h,1400000,3,2,1,164
u,370000,1,1,1,0
u,627500,2,2,2,0
u,710000,2,2,1,0
u,485000,2,1,1,0
u,310000,1,1,1,0
h,3120000,2,1,4,677
u,450000,2,1,1,0
h,2160000,3,2,2,387
h,815000,2,1,2,589
h,720000,3,1,0,505
h,1370000,4,2,4,481
h,757000,2,2,2,275
h,740600,3,2,2,337
h,580000,2,1,1,577
t,565000,2,2,1,201
h,1587500,4,5,2,599
h,758500,2,2,3,510
h,994000,3,2,2,807
h,725000,3,2,1,665
h,725000,2,1,3,577
h,743000,3,1,0,673
h,785000,3,1,0,592
t,620000,3,2,2,215
h,700000,3,2,1,608
t,706750,3,2,2,250
h,584000,2,1,1,428
h,909000,3,2,2,585
h,1086000,4,2,2,724
h,680000,2,1,1,605
u,440000,2,1,2,281
h,650000,2,1,3,620
h,890000,5,2,2,596
h,650000,3,1,2,582
h,659500,3,1,1,608
h,725000,3,1,2,580
u,605000,2,1,1,166
h,770000,8,4,4,638
h,950000,3,1,2,800
h,856000,4,1,2,722
h,600000,3,2,2,251
u,450000,2,1,1,0
h,1060000,2,1,0,837
h,850000,3,1,1,590
h,510000,2,1,2,244
h,1100000,3,1,0,613
h,915000,3,1,1,748
u,400000,2,1,1,127
h,526000,2,1,1,310
h,570000,2,1,3,428
h,550000,3,1,1,420
h,510000,2,1,1,174
h,590000,2,1,2,586
h,920000,2,1,3,932
h,460000,2,1,2,508
h,662500,3,1,4,552
h,1000500,4,2,1,592
h,631000,3,1,1,596
h,765000,3,2,2,415
h,691000,2,1,2,624
h,560000,3,1,1,523
h,735000,2,1,3,602
h,830000,3,2,0,643
h,330000,3,1,1,468
h,405000,1,1,2,374
t,370000,2,1,1,100
h,532000,3,1,1,390
h,740000,3,2,1,627
h,686000,2,1,2,650
h,501500,2,1,2,538
h,525500,3,1,1,605
h,525000,3,1,2,192
h,710000,3,1,1,594
h,808000,3,1,0,649
h,652000,3,1,0,589
h,515500,2,1,1,331
h,800000,3,1,3,633
h,450000,2,1,2,418
h,605000,1,2,4,0
h,620000,2,1,2,668
h,497500,2,1,2,708
u,360000,2,1,1,89
h,440500,2,1,1,368
h,758000,4,1,1,632
h,690500,3,1,2,605
h,752000,2,1,0,627
h,777000,2,1,0,649
h,680000,2,1,1,591
h,480000,3,1,1,338
h,715000,4,2,2,521
h,520000,2,1,2,594
h,646250,3,1,2,616
h,1375000,3,1,1,368
h,722000,3,1,2,593
h,715000,2,1,3,609
h,636000,1,1,1,588
h,590000,2,1,2,586
h,820000,4,2,2,608
h,725000,2,1,3,632
h,705000,2,1,1,583
h,710000,3,2,4,1
h,415000,2,1,1,422
h,392000,3,1,2,372
h,961000,3,1,2,1179
h,507000,3,1,1,536
h,465000,2,1,1,413
h,675000,3,1,2,665
h,1550000,2,1,1,732
u,516000,2,1,1,0
h,1340000,3,1,1,705
u,855000,3,1,2,0
h,1316000,2,1,2,715
t,828000,3,2,1,206
h,1055000,3,1,1,562
u,623000,2,1,1,101
h,2120000,4,2,2,847
h,1745000,4,2,1,547
h,1700000,4,2,2,545
u,420000,2,1,1,0
u,375500,2,1,1,0
h,1350000,3,1,2,698
h,900000,1,1,1,369
h,1262000,2,1,1,546
h,1337000,4,1,2,696
u,455000,2,1,2,0
u,400000,2,1,1,100
u,648000,2,1,1,0
h,1210000,3,1,2,730
h,1167500,3,2,1,678
t,900000,3,2,1,360
h,1322000,3,2,4,738
h,677500,2,1,4,575
u,480000,2,1,1,0
u,430000,2,1,1,0
u,460000,1,1,0,75
h,1601000,4,3,2,610
h,2265000,4,2,2,925
h,1680000,3,2,2,665
u,440000,2,1,0,0
h,2350000,4,2,2,638
t,962000,3,2,1,108
h,981000,5,3,2,626
h,2400000,0,2,2,1252
t,890000,3,2,2,249
u,490000,2,1,1,0
u,739000,2,1,1,648
h,1340000,2,1,1,571
h,785000,3,2,0,399
h,1155000,3,1,2,537
h,1300000,4,1,1,586
h,1020000,2,1,1,557
h,1796000,3,1,1,614
h,790000,2,1,1,221
h,1465000,3,1,2,630
t,855000,3,2,2,0
u,705000,2,1,1,94
u,504000,2,1,1,0
u,413000,1,1,1,845
t,1010000,3,2,2,314
h,1220000,3,1,1,687
h,1605000,3,2,2,608
u,587000,2,1,1,721
u,475000,2,1,1,0
h,1075000,3,1,2,677
u,465000,2,1,1,795
t,610000,2,1,1,277
u,690000,2,1,1,103
h,1535000,3,1,2,691
h,1470000,4,2,1,694
h,1486000,3,1,2,645
u,420000,1,1,1,55
t,750000,3,1,1,110
u,460000,2,0,0,0
h,1615000,5,2,3,758
h,1730000,4,2,2,689
t,779000,3,1,2,152
h,1850000,3,2,2,684
h,1910000,2,1,2,760
h,2600000,5,3,1,1006
u,500000,2,1,1,71
h,950000,3,3,2,290
u,450000,2,1,1,0
h,1102000,3,1,1,597
h,1275000,3,2,2,834
h,1065000,3,1,1,596
t,785000,2,2,1,124
h,1223500,3,2,2,721
u,845000,2,2,2,147
h,1720000,4,2,3,631
h,1225000,3,1,1,572
u,630000,2,1,1,199
h,1460000,4,1,2,605
u,421000,1,1,1,0
h,2090000,4,3,2,608
h,1758000,4,2,2,650
t,700000,3,2,1,189
h,1420000,5,3,1,455
t,550000,3,1,1,139
h,2595000,4,3,3,719
t,710000,2,1,1,134
u,650000,3,2,2,0
u,385000,1,1,1,0
h,740000,4,2,2,558
h,500000,4,2,2,579
h,365000,3,1,0,543
h,570000,4,2,2,558
h,515000,3,1,4,597
h,1095000,4,3,5,654
h,582000,3,2,4,530
h,545000,3,2,2,570
h,461000,3,1,0,534
h,751000,4,2,2,649
h,500000,4,1,2,574
h,560000,4,2,2,612
h,320000,3,2,1,119
h,450000,3,1,2,548
h,703000,3,2,2,683
h,650000,3,1,1,538
t,770000,3,2,1,331
t,480000,3,2,1,184
h,590000,3,1,2,610
h,900000,4,2,1,289
h,935000,3,1,2,662
h,700000,3,2,2,288
h,675000,3,2,1,549
h,816000,4,2,1,540
h,845000,3,1,1,622
h,725000,3,1,1,657
h,772000,3,2,3,672
h,650000,3,2,2,3977
h,757000,3,2,1,532
h,690000,3,2,2,568
t,785000,3,2,2,610
h,583000,3,1,1,412
h,920000,3,2,2,603
h,880000,3,1,2,584
u,580000,3,2,2,112
t,886000,4,3,1,322
h,970000,4,2,4,659
h,920000,4,2,2,745
h,625000,3,1,2,539
h,825000,3,3,1,318
h,695000,3,1,1,564
h,915000,3,1,2,610
h,976000,3,3,2,605
t,520000,2,2,2,54
h,1420000,4,2,2,613
h,900000,3,1,1,713
u,470000,2,1,1,218
h,1100000,4,2,2,781
u,470000,3,1,1,254
h,380000,2,1,1,116
u,560000,3,1,2,352
h,1010000,4,2,2,776
h,740000,3,1,2,684
h,630000,2,2,1,221
h,835000,4,2,3,708
t,705000,3,2,1,440
t,680000,3,2,2,224
h,871000,4,2,2,570
h,808000,5,2,2,561
h,891000,3,3,1,292
h,785000,3,1,2,606
h,695000,3,2,2,716
t,807000,4,2,2,319
u,502000,5,1,2,0
h,770000,4,2,2,546
h,700000,4,2,2,629
h,570000,3,1,2,542
h,830000,4,2,2,686
h,600000,3,1,1,565
h,825000,3,2,1,630
h,680000,4,2,2,545
h,720000,3,1,2,639
h,735000,4,2,2,547
h,875000,3,2,2,928
h,601200,4,1,1,554
h,695000,3,1,3,0
h,680000,3,1,2,558
t,660000,3,2,1,265
h,650000,3,2,2,176
h,900000,3,1,2,600
h,823000,3,1,2,538
h,847000,4,3,2,579
h,705000,3,1,2,616
t,710000,3,2,1,320
h,732000,4,2,2,544
h,715000,3,2,4,598
h,785000,2,1,1,258
h,852000,3,1,1,166
h,1037000,3,1,1,188
h,775000,2,1,0,150
h,1470000,3,1,1,199
u,630000,2,2,1,0
t,845000,3,2,1,132
u,492500,2,1,1,0
u,420000,2,1,1,0
t,650000,2,1,1,79
h,1050000,3,1,1,274
h,1291000,3,1,1,416
u,420000,2,1,1,0
h,961000,3,1,1,235
h,1271000,3,1,1,284
h,1010000,3,1,0,234
t,750000,2,1,1,325
h,1675000,4,2,2,279
h,905000,2,2,1,138
h,960000,2,1,1,174
h,1031000,2,1,1,163
t,918000,3,2,1,788
h,870000,3,1,1,211
h,1165000,3,1,0,239
h,1710000,5,2,2,566
u,360000,1,1,1,4267
h,1455000,3,1,0,275
u,365000,1,1,1,0
u,551000,3,1,1,4440
u,442000,2,2,1,3448
h,765000,2,1,2,158
u,515000,2,1,1,3957
u,570000,3,1,2,0
u,370000,1,1,1,0
h,1005000,2,1,0,274
h,1234500,2,2,2,169
u,666000,2,1,2,1111
h,825000,2,1,1,211
t,770000,2,2,1,0
h,1135000,3,1,0,0
h,975000,4,3,1,0
t,812000,2,1,0,132
h,1900000,5,2,2,566
u,445000,1,1,0,0
h,732000,3,2,1,94
h,1260000,3,2,2,250
h,1000000,3,2,2,211
h,1155000,2,1,1,197
t,700000,2,1,3,62
h,813500,3,1,1,165
u,526000,2,0,0,0
t,790000,3,2,2,1181
h,1365000,4,2,1,242
t,700000,2,2,1,324
u,370000,1,1,2,0
h,1230000,3,1,1,312
u,460000,2,1,1,0
u,395000,2,1,1,0
h,1001000,3,1,0,301
h,850000,2,1,1,169
h,1335000,3,1,3,459
h,868000,2,1,1,97
h,960000,2,1,0,179
t,773000,2,1,1,0
u,631090,2,2,1,2136
u,410000,2,1,1,0
u,425000,2,1,1,0
h,1211000,2,1,1,183
u,506000,2,1,1,0
h,806000,2,1,1,173
h,829000,2,2,2,84
h,786000,2,1,0,149
u,458000,1,1,1,0
h,1635000,3,1,2,396
h,4800000,2,2,1,697
u,562500,2,2,1,0
u,520000,2,1,1,0
h,4350000,5,3,2,853
h,1528500,3,1,1,375
u,630000,2,1,2,91
h,1690000,4,3,1,358
u,610000,2,1,1,745
h,1490000,3,2,2,597
u,588000,2,1,1,0
u,882000,3,2,2,0
u,831000,2,1,1,0
h,2130000,4,2,2,649
u,650000,2,1,1,0
u,599000,2,1,1,0
u,820000,2,1,2,0
h,2200000,4,1,2,735
h,3550000,4,3,4,992
h,1326000,2,1,2,405
u,610000,2,1,1,0
h,1950000,3,2,2,400
h,1875000,3,2,2,426
h,2850000,5,2,2,815
h,2550000,4,2,2,603
h,1878000,3,2,1,392
h,1910000,4,3,2,277
h,1410000,3,1,2,304
u,515000,2,1,1,743
h,2310000,3,1,2,782
h,890000,2,1,1,0
h,1668000,3,2,2,289
h,2315000,4,2,0,364
t,800000,3,2,2,848
h,1950000,2,1,4,596
h,4850000,5,4,4,957
h,2770000,3,3,4,1197
h,6500000,6,6,3,1334
u,580000,2,1,1,0
u,525000,2,1,1,0
h,1905000,4,2,2,591
u,478000,1,1,1,0
u,672000,2,1,1,0
h,2286000,4,3,2,712
h,1575000,3,2,2,397
u,590000,2,1,1,0
u,765000,2,1,2,0
h,1507000,2,1,2,667
h,972500,3,2,2,0
t,672000,2,1,1,0
h,2350000,4,2,2,861
h,1312000,4,2,1,687
u,890000,2,2,1,89
h,2117000,4,1,2,520
h,1331000,2,1,1,424
h,1800000,5,2,2,586
h,2513000,3,1,2,832
h,1476000,3,2,2,288
h,2590000,4,2,2,660
h,2625000,4,2,2,717
h,2265000,4,1,1,650
h,1975000,3,2,1,531
h,2075000,4,2,2,764
h,2550000,5,4,2,597
h,2240000,4,2,2,820
h,1275000,2,1,0,381
t,1330000,3,2,2,205
u,720000,3,1,1,0
h,1450000,3,2,2,247
h,3650000,3,2,3,1353
u,551000,2,1,2,0
h,2800000,4,1,0,919
u,557000,2,1,1,0
h,1410000,3,1,1,519
t,1000000,3,3,2,317
h,2450000,3,2,2,1012
h,2460000,4,4,2,737
h,2850000,4,2,4,690
h,2425000,5,2,2,534
u,610000,2,1,1,745
u,955000,3,2,2,140
t,707500,2,1,1,124
h,1410000,3,2,1,442
t,732000,3,1,1,904
h,2875000,2,1,1,1065
h,1565000,3,1,1,535
u,480000,2,2,1,0
h,1725000,4,2,3,709
h,1500000,3,1,2,857
h,1750000,4,3,2,641
u,1100000,3,1,1,0
h,1290000,3,1,0,321
h,1440000,3,1,1,298
h,2560000,4,3,4,670
h,2600000,5,2,2,674
h,2245000,4,3,2,627
h,3280000,4,5,2,480
t,730000,3,2,2,0
h,4005000,4,3,3,800
h,1211000,3,1,1,633
u,891000,2,1,1,121
u,620000,3,1,1,0
h,2600000,4,3,2,700
h,2800000,5,2,3,920
h,1420000,3,2,2,275
h,1800000,4,2,1,336
h,3065000,3,2,3,773
u,395000,1,1,1,0
h,2250000,4,3,2,741
h,2490000,3,2,2,712
u,620000,2,1,1,0
h,1750000,3,1,3,650
h,1950000,5,2,3,711
u,605000,2,1,1,0
h,1920000,3,1,2,672
h,1610000,4,2,2,763
h,1850000,5,3,4,787
h,1615000,3,1,1,702
h,1830000,4,2,3,596
h,1300000,3,1,2,378
h,1880000,3,1,2,836
h,2081000,3,4,3,948
h,1315000,4,2,2,458
h,1750000,3,2,4,611
h,3028000,5,5,4,696
h,2100000,5,3,2,695
u,1110000,2,1,1,0
h,2175000,4,2,2,691
h,1300000,6,3,2,730
h,1350000,3,2,2,414
t,1963000,3,2,2,426
h,1315000,4,2,2,458
t,1620000,3,2,2,248
h,1770000,3,1,1,698
t,1260000,3,2,2,284
h,1290000,2,2,2,0
h,670000,3,1,3,564
t,615000,3,2,2,165
h,715000,3,1,1,576
h,826000,4,2,2,308
u,275000,2,1,1,1972
h,711000,2,1,0,163
t,640000,3,2,2,214
h,1200000,3,1,1,589
h,927000,2,1,4,524
t,695000,3,2,1,156
h,880000,3,1,1,586
u,485000,2,1,1,152
h,490000,3,1,2,306
h,725000,3,1,2,305
h,676500,3,2,1,250
h,502000,2,1,1,144
h,721000,2,2,1,239
h,1048000,3,2,1,647
u,520000,3,2,2,184
h,1000000,2,1,2,700
h,580000,3,1,2,278
h,840000,3,1,1,584
u,335000,2,1,1,0
h,893000,3,1,3,528
h,832000,3,1,2,300
h,646000,2,1,2,270
h,673000,3,1,2,285
t,728000,3,2,2,218
t,600000,2,1,2,127
h,695000,3,1,2,214
h,935000,3,1,2,485
u,349000,2,1,1,0
t,555000,3,1,2,210
h,815000,3,1,2,0
h,915000,3,1,3,667
u,352500,2,1,1,15100
h,600000,2,1,1,194
h,690000,3,2,1,270
h,1350000,5,3,2,527
h,930000,3,1,2,492
t,510000,2,1,2,118
h,725500,3,2,2,214
h,746000,3,1,1,314
h,750000,2,2,1,782
u,360000,3,2,1,0
h,765000,4,1,2,672
h,1060000,4,2,2,660
h,740000,3,1,2,333
h,770000,2,1,1,329
h,490000,3,1,2,269
t,657000,3,2,2,159
h,830000,2,1,2,318
h,675000,4,1,1,595
h,865000,3,1,3,381
t,600000,2,2,1,145
h,773000,4,1,2,333
h,905000,3,1,1,686
u,570500,2,1,2,0
u,1350000,2,2,2,0
h,2050000,2,2,1,231
h,2300000,4,2,2,599
h,3460000,4,2,2,502
h,2400000,4,2,2,586
u,569000,2,1,2,0
h,2025000,3,2,2,396
h,1950000,2,1,1,325
h,1895000,3,2,0,258
u,635000,2,1,1,0
u,611000,2,1,1,0
h,1611000,2,1,2,277
h,3800000,4,3,2,587
t,1390000,3,2,1,227
h,780000,2,0,0,0
h,4700000,4,3,2,879
h,2415000,3,1,3,696
u,566000,2,1,1,0
h,1437000,2,1,1,313
t,500000,2,1,1,0
u,1155000,2,2,2,0
h,3010000,3,3,4,283
u,650000,2,2,1,0
h,3400000,4,3,4,807
h,2355000,3,2,4,471
h,4240000,5,3,3,580
u,927000,3,1,1,0
h,1326000,2,1,0,254
h,4525000,4,4,2,716
u,660000,2,1,1,0
h,1617000,2,1,0,337
h,1965000,4,2,1,300
h,2325000,3,2,2,347
h,3470000,4,3,2,585
u,740000,2,1,1,0
h,2325000,5,3,2,501
h,1970000,3,2,1,246
u,405000,1,1,1,0
h,1475000,2,1,1,232
u,640000,2,2,1,0
u,700000,2,1,2,0
u,1000000,3,2,1,176
u,584000,2,1,1,0
u,420000,1,1,3,0
h,2300000,3,2,2,313
h,1490000,3,1,1,322
h,1210000,3,2,1,337
h,1300000,3,2,2,644
h,1675000,3,2,4,727
u,980000,3,1,2,317
h,2400000,4,2,2,758
h,2355000,4,2,3,0
h,1036000,2,1,1,310
h,1301000,4,3,2,611
h,2273000,3,3,1,376
h,2350000,5,2,2,567
h,1215000,4,2,2,207
u,447000,2,1,1,0
h,2200000,4,2,2,541
h,2200000,4,3,2,567
u,790000,2,1,2,196
h,2250000,4,1,2,720
h,1185000,3,2,2,797
h,1837000,4,2,1,769
h,1105000,3,2,2,331
t,1253000,3,2,1,216
h,1505000,3,2,1,647
h,1500000,3,1,1,693
h,1400000,4,2,2,260
u,720000,2,1,1,92
h,2210000,3,1,2,789
t,940000,3,2,1,206
h,1810000,5,3,2,751
t,922000,3,2,2,0
h,4802500,5,2,4,837
u,350000,1,1,1,0
h,1555000,3,2,2,691
h,2123000,4,3,2,412
h,2800000,4,2,3,809
h,2305000,3,2,2,543
h,1700000,4,3,2,365
h,2500000,5,3,2,488
u,370000,2,1,1,0
h,1150000,2,1,2,604
h,1600000,5,2,2,639
h,2001000,4,2,2,526
h,1915000,3,2,2,700
h,1690000,4,2,2,334
t,1135000,3,3,2,0
t,1240000,4,2,2,310
t,1120000,3,2,2,181
h,1625000,3,2,1,87
h,1500000,3,1,2,888
h,1400000,2,1,1,312
u,707500,2,1,1,170
u,835000,2,1,1,0
h,1870000,3,2,1,400
h,1580000,4,2,1,504
u,820000,2,2,1,0
u,480000,2,1,1,0
h,1420000,2,1,1,348
t,1370000,3,2,2,323
h,1680000,3,2,2,234
h,2960000,5,2,4,798
h,2110000,4,2,2,645
h,1300000,3,2,2,323
h,1750000,3,1,2,562
u,300000,1,1,1,0
h,1100000,3,1,2,645
u,373000,1,1,1,0
h,1230000,3,2,2,822
u,536000,2,1,1,0
h,2412000,2,1,4,1220
t,2560000,4,3,2,427
h,960000,3,2,1,310
u,315000,1,1,1,0
h,1297000,3,1,1,333
t,1015000,3,2,2,0
u,523000,2,1,1,0
h,1335000,3,2,2,606
h,1055000,3,2,1,0
u,425000,2,1,1,0
h,1670000,3,2,1,375
h,1350000,4,3,2,222
h,1650000,3,1,2,764
h,1550000,4,2,4,848
h,950000,3,1,1,288
h,1782500,3,1,2,615
h,2490000,3,2,2,640
t,500000,2,1,1,50
t,650000,2,2,1,0
h,870000,3,2,2,392
u,635000,2,2,1,0
h,975000,3,1,2,597
t,560000,3,2,2,77
t,560000,3,2,2,83
t,355000,2,1,1,0
t,550000,3,2,2,77
u,420000,2,1,2,5661
h,399000,2,1,1,904
h,940000,4,2,1,516
h,1105000,3,1,4,762
t,730000,3,1,2,250
u,425000,2,1,1,170
u,662500,3,2,2,202
h,986500,3,1,1,629
t,410000,2,1,2,53
h,930000,5,2,2,330
h,920000,3,1,2,689
h,1320000,3,2,2,645
h,1150000,5,3,2,446
h,680000,3,2,2,225
h,990000,5,2,2,433
u,330000,2,1,1,950
t,1011000,3,2,2,225
h,847000,3,2,2,222
u,400000,2,1,2,3967
h,1100000,4,2,2,586
h,1072000,3,2,2,1396
t,479000,2,2,1,0
t,470000,2,2,1,0
t,510000,2,2,1,176
t,865000,3,2,2,151
u,488000,2,2,2,0
h,940000,4,2,1,325
t,570000,3,1,2,98
h,335000,2,1,1,0
h,1900000,4,3,8,865
t,429000,2,1,1,83
u,495000,2,2,2,37000
t,820000,3,2,2,275
h,456000,3,2,2,4977
u,566000,2,2,1,3014
t,408000,2,1,1,85
h,1040000,4,3,2,298
u,470000,2,2,1,0
h,1460000,3,1,2,926
h,780000,3,3,2,173
t,675000,3,2,2,210
t,440000,2,1,2,54
